geoName,diabetic retinopathy
Alabama,95
Alaska,0
Arizona,49
Arkansas,71
California,41
Colorado,41
Connecticut,41
Delaware,0
District of Columbia,0
Florida,57
Georgia,31
Hawaii,0
Idaho,0
Illinois,44
Indiana,66
Iowa,53
Kansas,43
Kentucky,51
Louisiana,51
Maine,0
Maryland,81
Massachusetts,75
Michigan,55
Minnesota,69
Mississippi,74
Missouri,66
Montana,0
Nebraska,0
Nevada,32
New Hampshire,55
New Jersey,64
New Mexico,89
New York,62
North Carolina,45
North Dakota,0
Ohio,43
Oklahoma,100
Oregon,55
Pennsylvania,58
Rhode Island,54
South Carolina,77
South Dakota,0
Tennessee,78
Texas,62
Utah,70
Vermont,0
Virginia,36
Washington,36
West Virginia,0
Wisconsin,54
Wyoming,0
