geoName,diabetic retinopathy
Alabama,0
Alaska,0
Arizona,49
Arkansas,0
California,26
Colorado,34
Connecticut,12
Delaware,0
District of Columbia,0
Florida,31
Georgia,27
Hawaii,0
Idaho,0
Illinois,33
Indiana,62
Iowa,22
Kansas,0
Kentucky,0
Louisiana,62
Maine,0
Maryland,70
Massachusetts,31
Michigan,51
Minnesota,32
Mississippi,100
Missouri,23
Montana,0
Nebraska,0
Nevada,27
New Hampshire,0
New Jersey,10
New Mexico,39
New York,28
North Carolina,46
North Dakota,0
Ohio,15
Oklahoma,21
Oregon,21
Pennsylvania,32
Rhode Island,33
South Carolina,39
South Dakota,0
Tennessee,11
Texas,47
Utah,19
Vermont,0
Virginia,31
Washington,15
West Virginia,0
Wisconsin,42
Wyoming,0
