geoName,diabetic retinopathy
Alabama,99
Alaska,0
Arizona,50
Arkansas,92
California,42
Colorado,62
Connecticut,29
Delaware,0
District of Columbia,0
Florida,59
Georgia,56
Hawaii,0
Idaho,0
Illinois,34
Indiana,79
Iowa,57
Kansas,0
Kentucky,69
Louisiana,25
Maine,0
Maryland,93
Massachusetts,58
Michigan,95
Minnesota,62
Mississippi,54
Missouri,100
Montana,0
Nebraska,71
Nevada,0
New Hampshire,40
New Jersey,25
New Mexico,47
New York,53
North Carolina,86
North Dakota,0
Ohio,68
Oklahoma,52
Oregon,40
Pennsylvania,68
Rhode Island,85
South Carolina,24
South Dakota,0
Tennessee,59
Texas,81
Utah,24
Vermont,0
Virginia,63
Washington,35
West Virginia,0
Wisconsin,56
Wyoming,0
