geoName,diabetic retinopathy
Alabama,19
Alaska,0
Arizona,21
Arkansas,8
California,20
Colorado,8
Connecticut,24
Delaware,0
District of Columbia,0
Florida,24
Georgia,30
Hawaii,0
Idaho,0
Illinois,25
Indiana,19
Iowa,14
Kansas,26
Kentucky,26
Louisiana,13
Maine,0
Maryland,30
Massachusetts,30
Michigan,20
Minnesota,22
Mississippi,0
Missouri,46
Montana,0
Nebraska,8
Nevada,16
New Hampshire,37
New Jersey,21
New Mexico,44
New York,29
North Carolina,27
North Dakota,0
Ohio,14
Oklahoma,20
Oregon,12
Pennsylvania,23
Rhode Island,29
South Carolina,38
South Dakota,0
Tennessee,39
Texas,27
Utah,21
Vermont,0
Virginia,13
Washington,19
West Virginia,100
Wisconsin,22
Wyoming,0
