geoName,uveitis
Alabama,48
Alaska,0
Arizona,33
Arkansas,23
California,32
Colorado,39
Connecticut,33
Delaware,43
District of Columbia,51
Florida,40
Georgia,37
Hawaii,17
Idaho,47
Illinois,49
Indiana,39
Iowa,60
Kansas,48
Kentucky,45
Louisiana,39
Maine,87
Maryland,100
Massachusetts,73
Michigan,46
Minnesota,52
Mississippi,24
Missouri,48
Montana,55
Nebraska,38
Nevada,10
New Hampshire,44
New Jersey,43
New Mexico,31
New York,42
North Carolina,57
North Dakota,0
Ohio,32
Oklahoma,28
Oregon,72
Pennsylvania,53
Rhode Island,83
South Carolina,40
South Dakota,47
Tennessee,39
Texas,45
Utah,15
Vermont,50
Virginia,33
Washington,45
West Virginia,56
Wisconsin,59
Wyoming,0
