geoName,diabetic retinopathy
Alabama,0
Alaska,0
Arizona,55
Arkansas,50
California,25
Colorado,21
Connecticut,16
Delaware,0
District of Columbia,0
Florida,27
Georgia,41
Hawaii,0
Idaho,0
Illinois,38
Indiana,17
Iowa,53
Kansas,52
Kentucky,0
Louisiana,50
Maine,0
Maryland,62
Massachusetts,43
Michigan,30
Minnesota,31
Mississippi,0
Missouri,42
Montana,0
Nebraska,0
Nevada,38
New Hampshire,40
New Jersey,59
New Mexico,52
New York,19
North Carolina,43
North Dakota,0
Ohio,19
Oklahoma,83
Oregon,100
Pennsylvania,42
Rhode Island,0
South Carolina,25
South Dakota,0
Tennessee,30
Texas,36
Utah,52
Vermont,0
Virginia,12
Washington,31
West Virginia,78
Wisconsin,22
Wyoming,0
