geoName,diabetic retinopathy
Alabama,22
Alaska,0
Arizona,9
Arkansas,62
California,29
Colorado,5
Connecticut,26
Delaware,0
District of Columbia,0
Florida,26
Georgia,33
Hawaii,0
Idaho,0
Illinois,38
Indiana,53
Iowa,42
Kansas,83
Kentucky,57
Louisiana,0
Maine,0
Maryland,45
Massachusetts,41
Michigan,25
Minnesota,28
Mississippi,39
Missouri,54
Montana,0
Nebraska,17
Nevada,27
New Hampshire,43
New Jersey,33
New Mexico,68
New York,21
North Carolina,24
North Dakota,0
Ohio,22
Oklahoma,24
Oregon,18
Pennsylvania,38
Rhode Island,21
South Carolina,21
South Dakota,0
Tennessee,42
Texas,35
Utah,11
Vermont,0
Virginia,26
Washington,32
West Virginia,100
Wisconsin,33
Wyoming,0
