geoName,diabetic retinopathy
Alabama,85
Alaska,0
Arizona,48
Arkansas,90
California,37
Colorado,25
Connecticut,31
Delaware,0
District of Columbia,0
Florida,53
Georgia,54
Hawaii,0
Idaho,0
Illinois,58
Indiana,80
Iowa,75
Kansas,21
Kentucky,94
Louisiana,54
Maine,0
Maryland,72
Massachusetts,56
Michigan,75
Minnesota,34
Mississippi,35
Missouri,53
Montana,0
Nebraska,86
Nevada,32
New Hampshire,38
New Jersey,52
New Mexico,100
New York,61
North Carolina,47
North Dakota,0
Ohio,56
Oklahoma,31
Oregon,62
Pennsylvania,63
Rhode Island,0
South Carolina,20
South Dakota,0
Tennessee,77
Texas,60
Utah,24
Vermont,0
Virginia,28
Washington,55
West Virginia,86
Wisconsin,62
Wyoming,0
