geoName,uveitis
Alabama,95
Alaska,0
Arizona,32
Arkansas,0
California,42
Colorado,30
Connecticut,45
Delaware,87
District of Columbia,43
Florida,30
Georgia,73
Hawaii,0
Idaho,56
Illinois,70
Indiana,32
Iowa,0
Kansas,25
Kentucky,32
Louisiana,48
Maine,42
Maryland,50
Massachusetts,41
Michigan,36
Minnesota,20
Mississippi,0
Missouri,40
Montana,0
Nebraska,0
Nevada,0
New Hampshire,39
New Jersey,50
New Mexico,100
New York,30
North Carolina,66
North Dakota,0
Ohio,54
Oklahoma,53
Oregon,55
Pennsylvania,65
Rhode Island,0
South Carolina,24
South Dakota,0
Tennessee,57
Texas,46
Utah,0
Vermont,66
Virginia,33
Washington,30
West Virginia,0
Wisconsin,22
Wyoming,0
