geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,53,19,0,26,2
Alaska,50,21,0,29,0
Arizona,43,23,4,28,2
Arkansas,45,35,0,10,10
California,43,27,2,23,5
Colorado,34,32,3,31,0
Connecticut,42,23,1,29,5
Delaware,67,22,0,11,0
District of Columbia,35,26,0,30,9
Florida,40,31,3,23,3
Georgia,38,33,3,23,3
Hawaii,47,16,0,37,0
Idaho,64,13,0,23,0
Illinois,40,25,3,28,4
Indiana,36,30,6,25,3
Iowa,35,30,4,27,4
Kansas,32,40,0,27,1
Kentucky,38,20,0,35,7
Louisiana,53,15,8,18,6
Maine,34,39,0,22,5
Maryland,41,26,5,23,5
Massachusetts,37,27,2,26,8
Michigan,37,23,4,31,5
Minnesota,43,26,3,24,4
Mississippi,47,23,7,23,0
Missouri,35,28,2,27,8
Montana,25,67,0,8,0
Nebraska,35,30,0,30,5
Nevada,34,19,3,37,7
New Hampshire,50,22,0,17,11
New Jersey,40,30,1,21,8
New Mexico,42,23,2,28,5
New York,42,27,2,23,6
North Carolina,35,24,4,30,7
North Dakota,31,31,0,38,0
Ohio,38,31,1,26,4
Oklahoma,53,20,1,22,4
Oregon,43,25,2,22,8
Pennsylvania,40,29,3,23,5
Rhode Island,37,21,5,27,10
South Carolina,45,23,4,15,13
South Dakota,12,38,0,38,12
Tennessee,40,31,0,22,7
Texas,41,27,4,24,4
Utah,42,42,0,15,1
Vermont,55,33,0,12,0
Virginia,40,22,2,30,6
Washington,37,38,1,18,6
West Virginia,33,39,0,14,14
Wisconsin,34,28,3,30,5
Wyoming,60,40,0,0,0
