geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,31,39,2,21,7
Alaska,31,41,0,28,0
Arizona,41,33,0,20,6
Arkansas,29,32,7,29,3
California,42,31,3,19,5
Colorado,34,33,1,30,2
Connecticut,43,28,3,18,8
Delaware,35,27,0,23,15
District of Columbia,36,37,0,19,8
Florida,41,32,2,19,6
Georgia,42,31,3,18,6
Hawaii,47,25,0,25,3
Idaho,40,34,0,21,5
Illinois,45,28,3,19,5
Indiana,39,33,4,20,4
Iowa,41,26,4,23,6
Kansas,42,24,7,25,2
Kentucky,39,35,6,17,3
Louisiana,49,26,0,20,5
Maine,33,35,0,24,8
Maryland,42,29,3,19,7
Massachusetts,43,26,4,21,6
Michigan,40,29,3,21,7
Minnesota,40,32,3,21,4
Mississippi,44,33,3,15,5
Missouri,41,27,5,23,4
Montana,45,26,0,22,7
Nebraska,52,16,2,28,2
Nevada,43,30,3,22,2
New Hampshire,50,19,3,22,6
New Jersey,43,28,3,19,7
New Mexico,40,40,6,12,2
New York,43,28,2,19,8
North Carolina,42,30,3,19,6
North Dakota,40,37,0,23,0
Ohio,37,33,2,21,7
Oklahoma,47,24,2,23,4
Oregon,42,34,1,17,6
Pennsylvania,39,29,3,21,8
Rhode Island,33,24,3,31,9
South Carolina,43,28,1,22,6
South Dakota,54,19,0,27,0
Tennessee,46,29,3,18,4
Texas,45,29,3,17,6
Utah,24,41,2,25,8
Vermont,24,40,0,32,4
Virginia,44,26,3,20,7
Washington,35,34,3,23,5
West Virginia,29,43,7,14,7
Wisconsin,41,30,3,21,5
Wyoming,37,44,0,19,0
