geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,42,33,3,14,8
Alaska,40,42,0,18,0
Arizona,45,32,2,17,4
Arkansas,45,28,4,21,2
California,46,29,3,17,5
Colorado,37,40,1,17,5
Connecticut,44,26,4,20,6
Delaware,49,34,0,16,1
District of Columbia,41,30,0,21,8
Florida,42,33,2,19,4
Georgia,43,28,4,18,7
Hawaii,54,21,0,20,5
Idaho,35,37,0,23,5
Illinois,46,29,2,17,6
Indiana,34,37,3,21,5
Iowa,40,31,3,22,4
Kansas,46,31,1,17,5
Kentucky,39,31,5,17,8
Louisiana,45,25,3,19,8
Maine,42,31,0,21,6
Maryland,43,29,3,18,7
Massachusetts,45,27,2,18,8
Michigan,40,31,3,20,6
Minnesota,39,34,2,20,5
Mississippi,46,32,1,15,6
Missouri,41,30,3,21,5
Montana,27,49,0,21,3
Nebraska,37,31,2,25,5
Nevada,43,30,3,20,4
New Hampshire,44,27,1,20,8
New Jersey,44,29,2,18,7
New Mexico,35,33,1,24,7
New York,44,30,2,17,7
North Carolina,41,30,2,21,6
North Dakota,44,28,0,28,0
Ohio,42,29,3,19,7
Oklahoma,43,30,2,22,3
Oregon,42,33,3,16,6
Pennsylvania,42,29,2,19,8
Rhode Island,38,24,5,26,7
South Carolina,41,32,3,19,5
South Dakota,38,34,0,20,8
Tennessee,40,33,4,18,5
Texas,46,29,3,17,5
Utah,35,39,2,17,7
Vermont,40,31,0,21,8
Virginia,45,28,2,19,6
Washington,40,36,1,18,5
West Virginia,40,28,2,22,8
Wisconsin,38,32,3,20,7
Wyoming,30,41,0,29,0
