geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,38,25,5,26,6
Alaska,32,25,0,43,0
Arizona,35,34,2,26,3
Arkansas,32,33,4,26,5
California,39,31,2,24,4
Colorado,33,35,3,28,1
Connecticut,37,31,1,20,11
Delaware,49,18,0,24,9
District of Columbia,36,32,0,29,3
Florida,38,33,3,24,2
Georgia,43,25,3,24,5
Hawaii,45,29,0,26,0
Idaho,40,30,0,19,11
Illinois,44,24,2,26,4
Indiana,28,30,3,33,6
Iowa,26,24,2,41,7
Kansas,32,33,0,32,3
Kentucky,43,28,4,23,2
Louisiana,50,19,2,25,4
Maine,36,37,0,25,2
Maryland,41,23,4,29,3
Massachusetts,36,31,3,25,5
Michigan,40,27,5,25,3
Minnesota,36,28,3,25,8
Mississippi,46,28,3,20,3
Missouri,41,28,5,21,5
Montana,31,35,0,26,8
Nebraska,33,30,3,34,0
Nevada,53,25,0,18,4
New Hampshire,36,29,2,19,14
New Jersey,39,29,1,25,6
New Mexico,43,25,1,23,8
New York,40,29,3,23,5
North Carolina,43,29,4,19,5
North Dakota,23,50,0,27,0
Ohio,41,26,4,26,3
Oklahoma,41,26,2,28,3
Oregon,40,33,2,21,4
Pennsylvania,45,24,3,23,5
Rhode Island,37,23,4,27,9
South Carolina,38,35,1,19,7
South Dakota,23,39,0,33,5
Tennessee,46,30,2,14,8
Texas,42,25,4,25,4
Utah,29,48,1,20,2
Vermont,31,30,0,36,3
Virginia,42,30,4,21,3
Washington,44,32,2,20,2
West Virginia,23,23,0,50,4
Wisconsin,36,30,2,27,5
Wyoming,55,45,0,0,0
