geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,44,34,2,13,7
Alaska,40,33,0,27,0
Arizona,38,34,2,22,4
Arkansas,48,30,1,18,3
California,46,29,3,16,6
Colorado,34,39,1,21,5
Connecticut,46,28,3,19,4
Delaware,42,36,0,16,6
District of Columbia,44,30,0,19,7
Florida,42,32,3,18,5
Georgia,43,29,4,18,6
Hawaii,49,32,0,16,3
Idaho,40,27,0,24,9
Illinois,41,30,3,20,6
Indiana,41,29,2,23,5
Iowa,45,29,1,17,8
Kansas,35,33,3,23,6
Kentucky,42,22,3,26,7
Louisiana,42,31,1,20,6
Maine,39,27,0,24,10
Maryland,42,26,3,16,13
Massachusetts,42,27,3,18,10
Michigan,44,26,2,22,6
Minnesota,38,29,3,23,7
Mississippi,41,26,0,29,4
Missouri,41,25,5,23,6
Montana,12,59,0,23,6
Nebraska,45,31,0,20,4
Nevada,40,36,2,21,1
New Hampshire,53,23,4,14,6
New Jersey,41,31,3,18,7
New Mexico,37,38,5,17,3
New York,44,29,4,17,6
North Carolina,42,28,3,19,8
North Dakota,40,26,0,34,0
Ohio,45,31,1,19,4
Oklahoma,42,32,2,21,3
Oregon,39,31,1,21,8
Pennsylvania,39,30,3,21,7
Rhode Island,39,26,4,19,12
South Carolina,42,33,6,13,6
South Dakota,53,12,0,26,9
Tennessee,34,38,5,18,5
Texas,42,29,3,19,7
Utah,27,47,3,21,2
Vermont,37,27,0,27,9
Virginia,54,22,2,16,6
Washington,39,34,2,19,6
West Virginia,32,20,11,30,7
Wisconsin,39,30,2,21,8
Wyoming,40,44,0,16,0
