geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,39,40,3,14,4
Alaska,42,44,0,14,0
Arizona,36,41,3,15,5
Arkansas,45,34,2,14,5
California,43,40,3,10,4
Colorado,34,43,2,17,4
Connecticut,40,39,2,13,6
Delaware,37,42,0,17,4
District of Columbia,46,33,0,13,8
Florida,41,39,2,13,5
Georgia,41,39,3,13,4
Hawaii,44,39,0,13,4
Idaho,35,41,0,20,4
Illinois,38,37,3,16,6
Indiana,26,56,2,12,4
Iowa,35,40,4,15,6
Kansas,41,39,3,13,4
Kentucky,37,40,5,14,4
Louisiana,41,38,2,14,5
Maine,33,40,0,18,9
Maryland,40,36,3,14,7
Massachusetts,40,36,3,15,6
Michigan,41,37,2,15,5
Minnesota,38,38,4,16,4
Mississippi,40,38,3,14,5
Missouri,37,40,3,15,5
Montana,24,56,0,16,4
Nebraska,41,35,3,17,4
Nevada,40,40,2,14,4
New Hampshire,37,38,2,18,5
New Jersey,39,39,3,13,6
New Mexico,34,43,3,18,2
New York,38,40,3,14,5
North Carolina,38,39,3,15,5
North Dakota,39,36,0,25,0
Ohio,37,38,3,16,6
Oklahoma,39,40,3,14,4
Oregon,37,38,3,16,6
Pennsylvania,38,39,2,15,6
Rhode Island,37,40,2,13,8
South Carolina,37,44,2,13,4
South Dakota,37,40,0,20,3
Tennessee,35,42,4,14,5
Texas,45,36,3,12,4
Utah,35,45,2,15,3
Vermont,39,41,0,15,5
Virginia,39,38,3,15,5
Washington,34,43,3,15,5
West Virginia,37,43,2,13,5
Wisconsin,35,43,2,16,4
Wyoming,43,40,0,17,0
