geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,41,38,2,14,5
Alaska,30,50,0,20,0
Arizona,38,41,2,14,5
Arkansas,41,40,2,13,4
California,44,39,3,10,4
Colorado,35,44,2,13,6
Connecticut,40,38,3,14,5
Delaware,46,40,0,12,2
District of Columbia,44,36,0,15,5
Florida,39,39,3,14,5
Georgia,44,37,2,13,4
Hawaii,40,45,0,12,3
Idaho,37,43,0,16,4
Illinois,40,37,3,14,6
Indiana,27,55,3,11,4
Iowa,38,39,2,16,5
Kansas,39,41,2,13,5
Kentucky,37,40,3,16,4
Louisiana,43,36,4,11,6
Maine,33,43,0,15,9
Maryland,41,36,3,13,7
Massachusetts,39,36,3,15,7
Michigan,41,36,3,15,5
Minnesota,37,38,3,17,5
Mississippi,42,39,2,12,5
Missouri,36,39,4,15,6
Montana,35,43,0,18,4
Nebraska,42,33,3,19,3
Nevada,41,39,3,14,3
New Hampshire,41,37,1,16,5
New Jersey,39,40,2,14,5
New Mexico,34,41,3,18,4
New York,40,37,3,14,6
North Carolina,39,38,3,14,6
North Dakota,34,50,0,16,0
Ohio,39,38,3,15,5
Oklahoma,36,44,4,13,3
Oregon,34,41,3,16,6
Pennsylvania,39,37,3,15,6
Rhode Island,41,39,1,11,8
South Carolina,37,43,2,15,3
South Dakota,33,46,0,18,3
Tennessee,33,44,3,15,5
Texas,44,35,3,13,5
Utah,35,45,2,13,5
Vermont,33,41,0,19,7
Virginia,39,37,3,15,6
Washington,39,40,2,13,6
West Virginia,37,38,4,16,5
Wisconsin,35,42,2,16,5
Wyoming,42,34,0,24,0
