geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,40,35,2,19,4
Alaska,45,40,0,15,0
Arizona,41,32,2,20,5
Arkansas,37,34,3,21,5
California,48,30,2,15,5
Colorado,35,40,2,18,5
Connecticut,43,31,2,19,5
Delaware,38,36,0,18,8
District of Columbia,49,30,0,14,7
Florida,39,35,3,18,5
Georgia,46,31,2,16,5
Hawaii,39,41,0,16,4
Idaho,40,32,0,21,7
Illinois,42,32,3,17,6
Indiana,34,41,3,18,4
Iowa,37,31,1,25,6
Kansas,40,32,4,19,5
Kentucky,38,32,3,21,6
Louisiana,43,32,3,14,8
Maine,34,37,0,22,7
Maryland,42,28,4,20,6
Massachusetts,42,30,3,19,6
Michigan,40,32,4,18,6
Minnesota,39,34,2,20,5
Mississippi,45,30,2,16,7
Missouri,41,33,3,17,6
Montana,36,38,0,22,4
Nebraska,37,32,2,21,8
Nevada,46,31,3,16,4
New Hampshire,37,36,1,18,8
New Jersey,40,34,2,18,6
New Mexico,34,36,3,22,5
New York,43,32,3,16,6
North Carolina,39,35,3,17,6
North Dakota,38,43,0,19,0
Ohio,40,32,3,20,5
Oklahoma,44,34,1,16,5
Oregon,42,31,2,18,7
Pennsylvania,42,31,2,18,7
Rhode Island,43,31,1,16,9
South Carolina,39,37,1,18,5
South Dakota,36,34,0,28,2
Tennessee,42,32,3,17,6
Texas,44,32,3,16,5
Utah,33,37,1,24,5
Vermont,41,28,0,26,5
Virginia,42,33,2,17,6
Washington,39,36,2,19,4
West Virginia,40,28,2,22,8
Wisconsin,41,32,2,19,6
Wyoming,34,40,0,26,0
