geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,43,31,2,18,6
Alaska,50,31,0,19,0
Arizona,41,31,2,22,4
Arkansas,41,34,2,20,3
California,51,25,3,16,5
Colorado,38,36,1,21,4
Connecticut,44,31,2,18,5
Delaware,43,26,0,27,4
District of Columbia,54,24,0,18,4
Florida,43,34,2,17,4
Georgia,44,29,2,19,6
Hawaii,46,33,0,18,3
Idaho,42,39,0,16,3
Illinois,44,30,3,18,5
Indiana,36,40,2,17,5
Iowa,41,28,3,20,8
Kansas,41,32,5,19,3
Kentucky,42,31,3,18,6
Louisiana,40,32,3,18,7
Maine,38,31,0,21,10
Maryland,42,29,3,19,7
Massachusetts,43,28,3,18,8
Michigan,42,31,3,19,5
Minnesota,40,34,2,19,5
Mississippi,48,27,4,15,6
Missouri,41,32,3,18,6
Montana,33,38,0,25,4
Nebraska,44,30,3,18,5
Nevada,41,34,1,19,5
New Hampshire,43,29,2,20,6
New Jersey,45,30,2,17,6
New Mexico,33,34,6,22,5
New York,44,30,2,17,7
North Carolina,40,32,2,19,7
North Dakota,32,39,0,29,0
Ohio,44,29,2,19,6
Oklahoma,45,29,3,19,4
Oregon,35,32,3,23,7
Pennsylvania,43,28,4,19,6
Rhode Island,41,31,5,14,9
South Carolina,41,33,2,19,5
South Dakota,45,26,0,26,3
Tennessee,41,34,2,18,5
Texas,44,30,3,18,5
Utah,34,35,3,23,5
Vermont,46,29,0,20,5
Virginia,42,32,2,19,5
Washington,40,34,3,19,4
West Virginia,45,25,4,23,3
Wisconsin,39,30,4,21,6
Wyoming,37,39,0,24,0
