geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,35,46,3,13,3
Alaska,34,52,0,14,0
Arizona,34,43,4,14,5
Arkansas,32,46,4,13,5
California,40,43,3,10,4
Colorado,30,46,2,16,6
Connecticut,35,42,3,14,6
Delaware,36,43,0,15,6
District of Columbia,42,42,0,9,7
Florida,35,47,3,11,4
Georgia,36,42,3,14,5
Hawaii,36,49,0,11,4
Idaho,25,54,0,16,5
Illinois,35,41,4,14,6
Indiana,24,55,4,13,4
Iowa,28,47,3,17,5
Kansas,32,42,4,18,4
Kentucky,32,44,5,13,6
Louisiana,35,44,2,14,5
Maine,36,40,0,17,7
Maryland,39,38,3,14,6
Massachusetts,33,43,4,14,6
Michigan,34,42,4,14,6
Minnesota,32,42,5,16,5
Mississippi,33,44,3,15,5
Missouri,31,46,4,13,6
Montana,29,47,0,20,4
Nebraska,34,46,2,16,2
Nevada,33,45,5,14,3
New Hampshire,34,44,4,13,5
New Jersey,37,41,3,13,6
New Mexico,30,45,3,18,4
New York,36,45,3,12,4
North Carolina,34,43,4,13,6
North Dakota,37,44,0,19,0
Ohio,32,44,3,15,6
Oklahoma,31,49,3,13,4
Oregon,31,44,3,17,5
Pennsylvania,34,41,4,15,6
Rhode Island,35,40,4,15,6
South Carolina,32,46,4,14,4
South Dakota,34,45,0,16,5
Tennessee,32,46,4,13,5
Texas,38,44,4,10,4
Utah,31,48,3,13,5
Vermont,27,44,0,23,6
Virginia,35,41,4,15,5
Washington,33,46,3,13,5
West Virginia,32,48,3,12,5
Wisconsin,28,47,4,16,5
Wyoming,22,61,0,17,0
