geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,40,35,3,17,5
Alaska,28,50,0,22,0
Arizona,40,35,3,17,5
Arkansas,38,35,2,17,8
California,46,32,3,14,5
Colorado,39,40,1,15,5
Connecticut,39,34,3,17,7
Delaware,38,32,0,22,8
District of Columbia,46,32,0,14,8
Florida,41,34,3,17,5
Georgia,45,31,2,16,6
Hawaii,44,39,0,14,3
Idaho,38,36,0,20,6
Illinois,41,34,3,15,7
Indiana,34,44,2,16,4
Iowa,38,33,4,22,3
Kansas,42,34,3,15,6
Kentucky,39,37,3,15,6
Louisiana,45,33,3,13,6
Maine,36,37,0,23,4
Maryland,43,30,3,16,8
Massachusetts,43,33,2,16,6
Michigan,40,33,3,17,7
Minnesota,42,33,1,19,5
Mississippi,47,33,1,14,5
Missouri,41,33,3,18,5
Montana,31,44,0,20,5
Nebraska,40,31,4,18,7
Nevada,44,35,2,16,3
New Hampshire,39,33,1,20,7
New Jersey,42,35,2,15,6
New Mexico,34,35,4,24,3
New York,45,31,3,14,7
North Carolina,42,34,2,16,6
North Dakota,39,35,0,26,0
Ohio,39,33,3,20,5
Oklahoma,43,34,3,15,5
Oregon,41,34,3,16,6
Pennsylvania,40,34,2,17,7
Rhode Island,44,31,3,17,5
South Carolina,38,40,2,16,4
South Dakota,57,23,0,17,3
Tennessee,39,36,4,15,6
Texas,43,33,3,16,5
Utah,36,38,3,20,3
Vermont,43,32,0,16,9
Virginia,44,34,2,14,6
Washington,40,36,2,17,5
West Virginia,40,33,3,20,4
Wisconsin,39,37,2,16,6
Wyoming,33,42,0,25,0
