geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,37,39,2,17,5
Alaska,42,44,0,14,0
Arizona,37,41,2,16,4
Arkansas,37,39,2,17,5
California,42,40,3,11,4
Colorado,32,46,2,16,4
Connecticut,37,39,3,16,5
Delaware,37,43,0,16,4
District of Columbia,40,35,0,17,8
Florida,39,41,2,14,4
Georgia,40,38,4,14,4
Hawaii,42,40,0,13,5
Idaho,29,44,0,20,7
Illinois,38,38,3,15,6
Indiana,29,51,3,12,5
Iowa,35,42,3,15,5
Kansas,36,39,4,16,5
Kentucky,36,40,3,15,6
Louisiana,40,40,3,11,6
Maine,39,38,0,17,6
Maryland,43,35,2,14,6
Massachusetts,39,36,3,15,7
Michigan,38,38,3,15,6
Minnesota,36,38,4,16,6
Mississippi,39,40,4,12,5
Missouri,37,41,3,14,5
Montana,31,49,0,13,7
Nebraska,33,39,3,19,6
Nevada,40,40,1,15,4
New Hampshire,40,38,3,14,5
New Jersey,40,38,3,14,5
New Mexico,35,42,3,16,4
New York,40,40,2,14,4
North Carolina,36,40,4,15,5
North Dakota,38,46,0,16,0
Ohio,37,39,3,16,5
Oklahoma,40,40,3,13,4
Oregon,35,41,3,16,5
Pennsylvania,38,37,3,15,7
Rhode Island,40,40,4,11,5
South Carolina,37,41,3,15,4
South Dakota,33,39,0,20,8
Tennessee,34,42,3,15,6
Texas,43,37,3,12,5
Utah,35,45,2,14,4
Vermont,38,42,0,15,5
Virginia,38,37,3,16,6
Washington,36,42,3,15,4
West Virginia,33,40,5,14,8
Wisconsin,35,41,2,16,6
Wyoming,38,35,0,27,0
