geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,42,26,6,23,3
Alaska,40,37,0,23,0
Arizona,38,35,3,20,4
Arkansas,42,23,3,29,3
California,46,29,2,17,6
Colorado,36,37,2,21,4
Connecticut,40,29,2,23,6
Delaware,36,32,0,32,0
District of Columbia,45,29,0,21,5
Florida,43,30,2,20,5
Georgia,44,29,1,21,5
Hawaii,51,34,0,14,1
Idaho,44,33,0,16,7
Illinois,40,30,2,22,6
Indiana,34,38,3,19,6
Iowa,50,27,2,17,4
Kansas,44,27,3,22,4
Kentucky,37,26,3,23,11
Louisiana,42,34,3,16,5
Maine,44,30,0,15,11
Maryland,42,27,4,20,7
Massachusetts,39,28,3,20,10
Michigan,43,28,3,22,4
Minnesota,41,30,3,20,6
Mississippi,34,47,4,14,1
Missouri,43,29,3,20,5
Montana,27,35,0,33,5
Nebraska,63,20,0,13,4
Nevada,47,27,1,21,4
New Hampshire,34,31,3,25,7
New Jersey,37,35,3,18,7
New Mexico,37,34,4,15,10
New York,43,29,3,17,8
North Carolina,41,26,3,22,8
North Dakota,32,27,0,41,0
Ohio,42,27,2,24,5
Oklahoma,35,41,6,12,6
Oregon,40,29,3,19,9
Pennsylvania,39,32,2,20,7
Rhode Island,45,36,4,13,2
South Carolina,37,34,4,18,7
South Dakota,36,25,0,25,14
Tennessee,42,28,4,20,6
Texas,42,31,3,18,6
Utah,29,48,4,13,6
Vermont,49,33,0,15,3
Virginia,50,27,2,15,6
Washington,40,35,1,19,5
West Virginia,44,29,0,19,8
Wisconsin,36,35,3,20,6
Wyoming,34,50,0,16,0
