geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,31,47,4,13,5
Alaska,36,46,0,18,0
Arizona,33,44,2,18,3
Arkansas,33,48,4,12,3
California,36,41,5,13,5
Colorado,31,46,2,15,6
Connecticut,35,46,2,12,5
Delaware,28,53,0,14,5
District of Columbia,43,46,0,8,3
Florida,34,44,4,14,4
Georgia,35,43,3,13,6
Hawaii,37,49,0,10,4
Idaho,31,47,0,16,6
Illinois,36,42,4,13,5
Indiana,26,53,3,15,3
Iowa,28,48,4,17,3
Kansas,32,41,5,16,6
Kentucky,30,46,5,14,5
Louisiana,34,46,3,12,5
Maine,31,49,0,14,6
Maryland,38,41,4,12,5
Massachusetts,36,42,3,14,5
Michigan,33,46,3,13,5
Minnesota,29,45,5,17,4
Mississippi,37,47,2,10,4
Missouri,34,48,2,12,4
Montana,30,52,0,12,6
Nebraska,32,46,4,14,4
Nevada,35,46,3,13,3
New Hampshire,25,54,3,10,8
New Jersey,37,44,3,12,4
New Mexico,29,46,3,16,6
New York,36,41,5,13,5
North Carolina,33,43,4,15,5
North Dakota,35,50,0,15,0
Ohio,31,46,3,15,5
Oklahoma,29,47,5,15,4
Oregon,31,47,3,13,6
Pennsylvania,33,45,3,14,5
Rhode Island,33,41,2,18,6
South Carolina,33,47,2,14,4
South Dakota,27,45,0,20,8
Tennessee,33,49,3,11,4
Texas,38,41,4,13,4
Utah,32,47,3,13,5
Vermont,21,54,0,18,7
Virginia,35,42,4,14,5
Washington,33,45,3,14,5
West Virginia,33,48,3,13,3
Wisconsin,29,46,3,16,6
Wyoming,30,46,0,24,0
