geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,35,43,3,14,5
Alaska,33,52,0,15,0
Arizona,36,42,3,15,4
Arkansas,37,40,3,14,6
California,40,43,3,10,4
Colorado,31,45,2,17,5
Connecticut,37,39,3,16,5
Delaware,35,47,0,13,5
District of Columbia,41,41,0,10,8
Florida,40,42,2,12,4
Georgia,40,39,3,13,5
Hawaii,39,45,0,12,4
Idaho,31,49,0,15,5
Illinois,36,39,4,15,6
Indiana,30,52,3,11,4
Iowa,33,45,3,15,4
Kansas,33,42,3,16,6
Kentucky,35,43,3,15,4
Louisiana,40,40,4,12,4
Maine,33,41,0,16,10
Maryland,41,36,3,14,6
Massachusetts,38,39,2,13,8
Michigan,37,39,4,15,5
Minnesota,33,41,4,17,5
Mississippi,37,39,3,15,6
Missouri,35,42,3,14,6
Montana,29,51,0,15,5
Nebraska,34,41,4,16,5
Nevada,39,38,4,14,5
New Hampshire,34,46,2,14,4
New Jersey,39,40,3,13,5
New Mexico,36,40,4,18,2
New York,40,40,3,13,4
North Carolina,36,41,3,14,6
North Dakota,38,39,0,23,0
Ohio,37,37,4,16,6
Oklahoma,35,42,3,15,5
Oregon,37,40,3,13,7
Pennsylvania,37,38,3,15,7
Rhode Island,43,36,3,14,4
South Carolina,36,43,2,14,5
South Dakota,36,46,0,13,5
Tennessee,32,46,3,13,6
Texas,43,39,3,11,4
Utah,34,43,3,16,4
Vermont,31,38,0,22,9
Virginia,38,39,4,14,5
Washington,34,44,2,14,6
West Virginia,35,40,3,17,5
Wisconsin,33,41,3,18,5
Wyoming,39,46,0,15,0
