geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,37,40,2,14,7
Alaska,38,50,0,12,0
Arizona,39,36,2,18,5
Arkansas,40,34,3,16,7
California,45,35,3,13,4
Colorado,35,40,3,17,5
Connecticut,43,32,3,15,7
Delaware,40,41,0,13,6
District of Columbia,48,31,0,14,7
Florida,41,35,3,16,5
Georgia,45,31,3,16,5
Hawaii,45,34,0,16,5
Idaho,33,35,0,25,7
Illinois,41,34,3,16,6
Indiana,35,43,3,15,4
Iowa,43,30,3,20,4
Kansas,40,31,3,19,7
Kentucky,39,36,3,17,5
Louisiana,45,32,3,15,5
Maine,37,36,0,22,5
Maryland,42,32,4,15,7
Massachusetts,40,33,3,15,9
Michigan,40,33,3,18,6
Minnesota,38,36,2,18,6
Mississippi,38,37,2,19,4
Missouri,42,33,3,16,6
Montana,36,43,0,17,4
Nebraska,40,32,3,17,8
Nevada,41,35,3,17,4
New Hampshire,43,29,2,17,9
New Jersey,44,33,3,15,5
New Mexico,37,39,1,19,4
New York,44,32,3,14,7
North Carolina,43,35,2,15,5
North Dakota,37,43,0,20,0
Ohio,43,32,3,16,6
Oklahoma,45,32,3,14,6
Oregon,41,35,2,16,6
Pennsylvania,42,34,3,16,5
Rhode Island,44,29,1,21,5
South Carolina,36,40,2,16,6
South Dakota,36,37,0,22,5
Tennessee,43,34,3,14,6
Texas,46,33,3,13,5
Utah,33,40,3,18,6
Vermont,37,37,0,20,6
Virginia,44,33,2,14,7
Washington,38,40,3,14,5
West Virginia,40,36,3,17,4
Wisconsin,37,37,3,18,5
Wyoming,46,32,0,22,0
