geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,31,25,0,32,12
Alaska,16,33,0,51,0
Arizona,26,32,6,33,3
Arkansas,48,34,4,14,0
California,41,26,3,25,5
Colorado,44,23,3,26,4
Connecticut,48,16,1,30,5
Delaware,27,46,0,18,9
District of Columbia,38,29,0,28,5
Florida,41,28,3,25,3
Georgia,40,20,4,27,9
Hawaii,55,27,0,18,0
Idaho,15,31,0,47,7
Illinois,44,21,4,22,9
Indiana,41,39,1,16,3
Iowa,52,19,4,25,0
Kansas,36,15,6,40,3
Kentucky,50,9,0,37,4
Louisiana,47,18,4,27,4
Maine,55,20,0,20,5
Maryland,39,26,6,24,5
Massachusetts,44,23,4,25,4
Michigan,45,22,3,26,4
Minnesota,31,27,4,35,3
Mississippi,28,29,0,43,0
Missouri,39,24,3,31,3
Montana,50,16,0,34,0
Nebraska,68,16,0,16,0
Nevada,36,28,7,29,0
New Hampshire,47,24,5,18,6
New Jersey,40,26,5,24,5
New Mexico,27,21,5,37,10
New York,47,24,2,23,4
North Carolina,38,24,4,27,7
North Dakota,63,37,0,0,0
Ohio,39,23,2,30,6
Oklahoma,30,30,5,32,3
Oregon,34,32,9,20,5
Pennsylvania,39,26,4,25,6
Rhode Island,50,15,0,35,0
South Carolina,47,28,2,21,2
South Dakota,60,10,0,30,0
Tennessee,40,32,2,21,5
Texas,45,24,4,21,6
Utah,30,30,6,34,0
Vermont,70,7,0,16,7
Virginia,38,22,1,34,5
Washington,36,30,4,26,4
West Virginia,21,51,7,21,0
Wisconsin,43,32,2,21,2
Wyoming,40,60,0,0,0
