geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,43,34,4,15,4
Alaska,50,34,0,16,0
Arizona,40,34,2,20,4
Arkansas,43,27,5,20,5
California,45,30,3,16,6
Colorado,41,40,1,15,3
Connecticut,45,30,1,19,5
Delaware,40,29,0,21,10
District of Columbia,44,35,0,13,8
Florida,40,32,2,21,5
Georgia,44,30,3,19,4
Hawaii,48,32,0,14,6
Idaho,53,29,0,15,3
Illinois,40,31,3,20,6
Indiana,37,34,3,20,6
Iowa,37,29,4,24,6
Kansas,41,32,1,24,2
Kentucky,38,32,4,23,3
Louisiana,41,32,2,19,6
Maine,42,28,0,24,6
Maryland,42,27,3,17,11
Massachusetts,44,28,3,18,7
Michigan,42,31,4,18,5
Minnesota,40,33,1,21,5
Mississippi,45,39,2,14,0
Missouri,40,32,2,20,6
Montana,30,45,0,22,3
Nebraska,44,24,4,22,6
Nevada,46,33,2,14,5
New Hampshire,46,20,2,24,8
New Jersey,43,29,3,19,6
New Mexico,37,33,4,20,6
New York,41,32,3,17,7
North Carolina,45,30,2,18,5
North Dakota,56,14,0,30,0
Ohio,41,32,3,19,5
Oklahoma,40,35,1,18,6
Oregon,38,34,3,18,7
Pennsylvania,42,29,3,21,5
Rhode Island,36,34,0,22,8
South Carolina,38,40,1,17,4
South Dakota,44,28,0,27,1
Tennessee,38,31,4,22,5
Texas,43,29,3,19,6
Utah,36,36,1,21,6
Vermont,51,27,0,19,3
Virginia,54,24,2,14,6
Washington,36,39,3,17,5
West Virginia,41,38,4,15,2
Wisconsin,41,30,3,22,4
Wyoming,47,34,0,19,0
