geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,0,0,0,0
Alaska,0,0,0,0,0
Arizona,0,0,0,100,0
Arkansas,0,0,0,0,0
California,44,22,0,34,0
Colorado,67,0,0,33,0
Connecticut,33,33,0,34,0
Delaware,0,100,0,0,0
District of Columbia,0,50,0,50,0
Florida,0,25,0,75,0
Georgia,25,0,0,50,25
Hawaii,100,0,0,0,0
Idaho,0,0,0,0,0
Illinois,50,0,0,50,0
Indiana,0,0,0,100,0
Iowa,0,0,0,0,0
Kansas,0,0,0,0,0
Kentucky,0,0,0,100,0
Louisiana,33,33,0,34,0
Maine,0,0,0,0,0
Maryland,50,0,0,50,0
Massachusetts,60,20,0,20,0
Michigan,100,0,0,0,0
Minnesota,0,0,0,100,0
Mississippi,0,0,0,0,0
Missouri,25,0,0,50,25
Montana,0,0,0,0,0
Nebraska,100,0,0,0,0
Nevada,0,0,0,0,0
New Hampshire,0,0,0,0,0
New Jersey,25,50,0,25,0
New Mexico,100,0,0,0,0
New York,72,14,0,14,0
North Carolina,67,0,0,33,0
North Dakota,0,0,0,0,0
Ohio,0,0,0,100,0
Oklahoma,100,0,0,0,0
Oregon,0,33,0,34,33
Pennsylvania,25,50,0,25,0
Rhode Island,100,0,0,0,0
South Carolina,100,0,0,0,0
South Dakota,0,0,0,0,0
Tennessee,0,100,0,0,0
Texas,25,25,25,0,25
Utah,0,0,0,0,0
Vermont,0,0,0,0,0
Virginia,0,0,100,0,0
Washington,33,0,0,67,0
West Virginia,0,0,0,0,0
Wisconsin,100,0,0,0,0
Wyoming,0,0,0,0,0
