geoName,glaucoma
Alabama,0
Alaska,29
Arizona,11
Arkansas,16
California,20
Colorado,11
Connecticut,11
Delaware,100
District of Columbia,25
Florida,24
Georgia,33
Hawaii,32
Idaho,20
Illinois,23
Indiana,18
Iowa,46
Kansas,9
Kentucky,6
Louisiana,25
Maine,18
Maryland,25
Massachusetts,16
Michigan,26
Minnesota,26
Mississippi,0
Missouri,34
Montana,31
Nebraska,43
Nevada,23
New Hampshire,0
New Jersey,18
New Mexico,98
New York,16
North Carolina,28
North Dakota,0
Ohio,21
Oklahoma,29
Oregon,20
Pennsylvania,16
Rhode Island,0
South Carolina,25
South Dakota,31
Tennessee,6
Texas,12
Utah,9
Vermont,0
Virginia,20
Washington,34
West Virginia,38
Wisconsin,41
Wyoming,51
