geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,41,43,1,9,6
Alaska,23,77,0,0,0
Arizona,30,44,1,18,7
Arkansas,23,44,0,26,7
California,41,38,4,14,3
Colorado,26,47,3,18,6
Connecticut,40,44,0,14,2
Delaware,29,57,0,14,0
District of Columbia,34,66,0,0,0
Florida,39,43,3,13,2
Georgia,38,44,2,11,5
Hawaii,41,49,0,10,0
Idaho,17,67,0,11,5
Illinois,35,40,4,18,3
Indiana,23,71,0,6,0
Iowa,39,45,4,12,0
Kansas,12,67,3,12,6
Kentucky,36,40,5,14,5
Louisiana,47,40,0,13,0
Maine,31,29,0,30,10
Maryland,39,44,2,10,5
Massachusetts,44,38,2,13,3
Michigan,32,40,2,17,9
Minnesota,29,37,5,21,8
Mississippi,22,39,4,26,9
Missouri,33,41,3,16,7
Montana,51,33,0,16,0
Nebraska,44,21,7,14,14
Nevada,48,30,3,13,6
New Hampshire,45,49,0,6,0
New Jersey,38,42,1,13,6
New Mexico,47,45,4,4,0
New York,36,42,2,16,4
North Carolina,34,46,3,14,3
North Dakota,0,0,0,100,0
Ohio,41,37,4,16,2
Oklahoma,30,35,13,19,3
Oregon,43,39,4,8,6
Pennsylvania,38,39,2,14,7
Rhode Island,32,23,7,31,7
South Carolina,16,60,4,16,4
South Dakota,51,49,0,0,0
Tennessee,34,50,1,13,2
Texas,41,40,2,12,5
Utah,45,44,1,8,2
Vermont,10,50,0,40,0
Virginia,32,44,3,20,1
Washington,23,56,1,15,5
West Virginia,28,45,4,23,0
Wisconsin,28,43,6,19,4
Wyoming,51,24,0,25,0
