geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,30,56,1,6,7
Alaska,43,57,0,0,0
Arizona,42,48,1,7,2
Arkansas,35,38,2,20,5
California,38,41,3,14,4
Colorado,30,43,2,25,0
Connecticut,36,37,1,19,7
Delaware,19,50,0,19,12
District of Columbia,0,76,0,12,12
Florida,38,42,4,13,3
Georgia,37,43,1,13,6
Hawaii,29,65,0,3,3
Idaho,23,71,0,6,0
Illinois,35,43,3,14,5
Indiana,23,59,3,10,5
Iowa,29,57,0,14,0
Kansas,40,57,0,3,0
Kentucky,21,54,8,13,4
Louisiana,31,51,2,10,6
Maine,25,51,0,12,12
Maryland,39,39,5,10,7
Massachusetts,39,39,1,16,5
Michigan,36,43,4,14,3
Minnesota,29,44,5,15,7
Mississippi,38,38,8,16,0
Missouri,23,58,2,12,5
Montana,13,74,0,7,6
Nebraska,23,52,9,13,3
Nevada,22,57,7,14,0
New Hampshire,23,62,0,15,0
New Jersey,34,47,1,10,8
New Mexico,30,51,0,13,6
New York,38,46,2,10,4
North Carolina,24,51,5,12,8
North Dakota,37,25,0,38,0
Ohio,33,48,2,13,4
Oklahoma,21,59,0,16,4
Oregon,25,45,5,24,1
Pennsylvania,35,46,2,14,3
Rhode Island,50,30,0,0,20
South Carolina,25,49,6,18,2
South Dakota,25,50,0,25,0
Tennessee,33,53,2,10,2
Texas,38,44,5,9,4
Utah,40,41,10,6,3
Vermont,0,67,0,33,0
Virginia,27,48,0,19,6
Washington,30,55,4,10,1
West Virginia,36,40,4,16,4
Wisconsin,25,52,6,16,1
Wyoming,40,60,0,0,0
