geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,35,43,2,15,5
Alaska,60,40,0,0,0
Arizona,39,37,1,20,3
Arkansas,49,28,3,10,10
California,44,36,6,12,2
Colorado,28,44,3,22,3
Connecticut,43,37,1,10,9
Delaware,33,54,0,13,0
District of Columbia,56,11,0,22,11
Florida,34,45,3,13,5
Georgia,42,41,2,13,2
Hawaii,50,25,0,17,8
Idaho,18,44,0,32,6
Illinois,35,45,4,11,5
Indiana,19,67,3,8,3
Iowa,20,45,0,20,15
Kansas,20,74,0,6,0
Kentucky,43,40,7,7,3
Louisiana,34,35,9,11,11
Maine,37,42,0,16,5
Maryland,40,32,6,19,3
Massachusetts,46,37,3,11,3
Michigan,37,43,2,14,4
Minnesota,32,35,5,20,8
Mississippi,30,55,5,5,5
Missouri,34,44,6,9,7
Montana,50,40,0,10,0
Nebraska,33,45,11,11,0
Nevada,31,49,0,17,3
New Hampshire,34,27,6,27,6
New Jersey,44,39,2,12,3
New Mexico,26,37,5,27,5
New York,35,43,1,16,5
North Carolina,29,51,3,16,1
North Dakota,58,28,0,14,0
Ohio,34,39,6,17,4
Oklahoma,33,52,3,6,6
Oregon,32,42,2,10,14
Pennsylvania,42,34,1,16,7
Rhode Island,36,43,7,14,0
South Carolina,34,40,1,20,5
South Dakota,0,50,0,34,16
Tennessee,51,32,2,12,3
Texas,42,39,5,11,3
Utah,45,38,3,14,0
Vermont,40,40,0,0,20
Virginia,33,40,2,20,5
Washington,38,43,3,12,4
West Virginia,31,38,0,19,12
Wisconsin,32,47,0,12,9
Wyoming,75,25,0,0,0
