geoName,glaucoma
Alabama,31
Alaska,0
Arizona,25
Arkansas,78
California,40
Colorado,42
Connecticut,61
Delaware,0
District of Columbia,45
Florida,32
Georgia,26
Hawaii,0
Idaho,0
Illinois,24
Indiana,50
Iowa,44
Kansas,0
Kentucky,15
Louisiana,29
Maine,0
Maryland,38
Massachusetts,33
Michigan,56
Minnesota,48
Mississippi,29
Missouri,48
Montana,0
Nebraska,76
Nevada,54
New Hampshire,93
New Jersey,50
New Mexico,0
New York,44
North Carolina,24
North Dakota,0
Ohio,37
Oklahoma,17
Oregon,100
Pennsylvania,29
Rhode Island,32
South Carolina,0
South Dakota,0
Tennessee,50
Texas,38
Utah,0
Vermont,71
Virginia,42
Washington,59
West Virginia,0
Wisconsin,49
Wyoming,95
