geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,30,47,2,14,7
Alaska,0,84,0,16,0
Arizona,44,38,1,12,5
Arkansas,60,35,0,5,0
California,42,38,3,13,4
Colorado,44,31,0,18,7
Connecticut,40,36,10,10,4
Delaware,0,67,0,33,0
District of Columbia,44,30,0,17,9
Florida,37,40,2,15,6
Georgia,39,40,2,15,4
Hawaii,36,46,0,9,9
Idaho,50,38,0,12,0
Illinois,50,30,3,13,4
Indiana,30,54,4,10,2
Iowa,41,37,0,18,4
Kansas,38,43,0,15,4
Kentucky,35,28,13,24,0
Louisiana,20,40,8,20,12
Maine,45,39,0,16,0
Maryland,52,29,6,8,5
Massachusetts,47,33,3,13,4
Michigan,34,38,2,18,8
Minnesota,36,42,4,17,1
Mississippi,26,54,0,20,0
Missouri,20,45,12,16,7
Montana,100,0,0,0,0
Nebraska,41,24,5,24,6
Nevada,28,61,0,11,0
New Hampshire,44,56,0,0,0
New Jersey,43,35,2,15,5
New Mexico,39,34,5,22,0
New York,45,36,1,12,6
North Carolina,43,32,4,18,3
North Dakota,25,75,0,0,0
Ohio,43,33,1,19,4
Oklahoma,42,40,12,6,0
Oregon,26,54,2,16,2
Pennsylvania,46,32,1,14,7
Rhode Island,59,33,0,0,8
South Carolina,48,38,1,12,1
South Dakota,22,56,0,22,0
Tennessee,36,41,5,12,6
Texas,46,32,4,14,4
Utah,39,47,7,7,0
Vermont,0,57,0,29,14
Virginia,41,36,6,17,0
Washington,51,36,0,8,5
West Virginia,33,17,25,25,0
Wisconsin,39,41,0,18,2
Wyoming,14,58,0,28,0
