geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,0,0,0,0
Alaska,0,100,0,0,0
Arizona,73,0,0,27,0
Arkansas,0,0,0,0,0
California,38,33,0,24,5
Colorado,54,10,0,36,0
Connecticut,100,0,0,0,0
Delaware,0,0,0,0,0
District of Columbia,100,0,0,0,0
Florida,42,33,16,9,0
Georgia,64,27,9,0,0
Hawaii,0,100,0,0,0
Idaho,0,0,0,0,0
Illinois,36,17,0,39,8
Indiana,33,67,0,0,0
Iowa,0,64,0,36,0
Kansas,0,100,0,0,0
Kentucky,0,0,0,0,0
Louisiana,0,0,0,0,0
Maine,0,0,0,0,0
Maryland,25,24,12,27,12
Massachusetts,28,13,14,31,14
Michigan,0,13,27,46,14
Minnesota,75,25,0,0,0
Mississippi,0,0,0,0,0
Missouri,50,50,0,0,0
Montana,0,0,0,0,0
Nebraska,100,0,0,0,0
Nevada,0,0,0,0,0
New Hampshire,0,0,0,0,0
New Jersey,24,49,0,27,0
New Mexico,0,0,0,100,0
New York,75,12,0,13,0
North Carolina,20,59,0,21,0
North Dakota,0,0,0,0,0
Ohio,31,0,0,69,0
Oklahoma,100,0,0,0,0
Oregon,100,0,0,0,0
Pennsylvania,25,24,0,27,24
Rhode Island,0,0,0,100,0
South Carolina,0,0,0,100,0
South Dakota,0,0,0,0,0
Tennessee,17,67,0,0,16
Texas,35,50,0,11,4
Utah,33,67,0,0,0
Vermont,0,100,0,0,0
Virginia,45,26,0,29,0
Washington,43,42,0,15,0
West Virginia,0,100,0,0,0
Wisconsin,44,28,14,0,14
Wyoming,100,0,0,0,0
