geoName,glaucoma
Alabama,50
Alaska,30
Arizona,25
Arkansas,20
California,23
Colorado,26
Connecticut,47
Delaware,59
District of Columbia,37
Florida,34
Georgia,28
Hawaii,18
Idaho,64
Illinois,30
Indiana,17
Iowa,17
Kansas,32
Kentucky,27
Louisiana,28
Maine,66
Maryland,26
Massachusetts,25
Michigan,32
Minnesota,17
Mississippi,0
Missouri,29
Montana,100
Nebraska,0
Nevada,11
New Hampshire,20
New Jersey,34
New Mexico,81
New York,21
North Carolina,42
North Dakota,0
Ohio,21
Oklahoma,33
Oregon,7
Pennsylvania,14
Rhode Island,22
South Carolina,0
South Dakota,0
Tennessee,6
Texas,19
Utah,27
Vermont,64
Virginia,26
Washington,36
West Virginia,0
Wisconsin,17
Wyoming,0
