geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,38,38,12,12,0
Alaska,0,0,0,0,0
Arizona,40,40,0,10,10
Arkansas,100,0,0,0,0
California,44,22,3,20,11
Colorado,0,60,0,40,0
Connecticut,60,40,0,0,0
Delaware,100,0,0,0,0
District of Columbia,9,82,0,9,0
Florida,46,38,0,8,8
Georgia,45,35,5,10,5
Hawaii,0,0,0,0,0
Idaho,75,0,0,25,0
Illinois,25,38,12,25,0
Indiana,40,40,0,20,0
Iowa,16,33,0,51,0
Kansas,33,0,0,34,33
Kentucky,100,0,0,0,0
Louisiana,0,50,0,25,25
Maine,0,0,0,34,66
Maryland,54,6,6,21,13
Massachusetts,36,18,0,28,18
Michigan,22,50,7,14,7
Minnesota,10,50,0,40,0
Mississippi,0,0,0,0,0
Missouri,63,12,0,25,0
Montana,0,0,0,0,0
Nebraska,50,0,0,50,0
Nevada,33,33,0,34,0
New Hampshire,0,100,0,0,0
New Jersey,23,54,0,23,0
New Mexico,25,50,25,0,0
New York,47,33,3,14,3
North Carolina,39,28,0,22,11
North Dakota,0,0,0,0,0
Ohio,17,50,8,17,8
Oklahoma,0,67,0,33,0
Oregon,43,14,0,14,29
Pennsylvania,52,24,0,16,8
Rhode Island,0,50,0,50,0
South Carolina,50,50,0,0,0
South Dakota,0,0,0,0,0
Tennessee,62,23,0,15,0
Texas,30,43,6,15,6
Utah,40,40,0,20,0
Vermont,0,0,0,100,0
Virginia,42,26,0,16,16
Washington,25,38,12,25,0
West Virginia,0,0,0,0,0
Wisconsin,40,30,0,30,0
Wyoming,0,0,0,0,0
