geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,0,0,0,0
Alaska,0,0,0,0,0
Arizona,25,50,0,25,0
Arkansas,100,0,0,0,0
California,46,27,0,27,0
Colorado,67,33,0,0,0
Connecticut,0,0,0,0,0
Delaware,50,50,0,0,0
District of Columbia,20,60,0,20,0
Florida,14,42,0,44,0
Georgia,40,0,0,41,19
Hawaii,49,0,0,51,0
Idaho,0,100,0,0,0
Illinois,80,0,0,20,0
Indiana,0,49,0,51,0
Iowa,0,0,0,0,0
Kansas,0,0,100,0,0
Kentucky,0,0,0,0,0
Louisiana,50,50,0,0,0
Maine,0,100,0,0,0
Maryland,100,0,0,0,0
Massachusetts,57,14,0,29,0
Michigan,0,75,0,25,0
Minnesota,50,50,0,0,0
Mississippi,0,0,0,0,0
Missouri,16,33,0,51,0
Montana,0,0,0,0,0
Nebraska,50,50,0,0,0
Nevada,49,0,0,51,0
New Hampshire,0,0,0,0,0
New Jersey,50,16,0,34,0
New Mexico,0,100,0,0,0
New York,57,14,0,22,7
North Carolina,66,0,0,34,0
North Dakota,0,0,0,0,0
Ohio,0,40,0,41,19
Oklahoma,49,0,0,51,0
Oregon,0,50,0,0,50
Pennsylvania,56,33,0,0,11
Rhode Island,100,0,0,0,0
South Carolina,33,33,0,34,0
South Dakota,0,100,0,0,0
Tennessee,75,25,0,0,0
Texas,50,26,12,0,12
Utah,0,0,49,51,0
Vermont,0,100,0,0,0
Virginia,33,34,0,17,16
Washington,0,33,33,34,0
West Virginia,0,0,0,0,0
Wisconsin,100,0,0,0,0
Wyoming,0,0,0,0,0
