geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,43,32,5,17,3
Alaska,33,67,0,0,0
Arizona,36,38,4,17,5
Arkansas,48,12,8,20,12
California,49,31,4,13,3
Colorado,32,41,8,15,4
Connecticut,44,28,5,21,2
Delaware,22,78,0,0,0
District of Columbia,49,34,0,5,12
Florida,42,35,3,17,3
Georgia,47,31,2,14,6
Hawaii,45,37,0,9,9
Idaho,50,17,0,33,0
Illinois,35,40,5,15,5
Indiana,29,45,6,14,6
Iowa,38,28,3,31,0
Kansas,40,24,4,24,8
Kentucky,24,39,9,20,8
Louisiana,52,36,0,4,8
Maine,33,34,0,33,0
Maryland,47,33,4,12,4
Massachusetts,46,34,2,15,3
Michigan,39,34,3,19,5
Minnesota,42,33,3,15,7
Mississippi,37,21,5,32,5
Missouri,28,32,0,37,3
Montana,67,17,0,16,0
Nebraska,40,41,7,6,6
Nevada,35,40,0,21,4
New Hampshire,41,6,0,33,20
New Jersey,35,38,2,17,8
New Mexico,18,66,5,11,0
New York,45,30,3,17,5
North Carolina,38,41,0,14,7
North Dakota,0,100,0,0,0
Ohio,46,29,4,13,8
Oklahoma,38,39,0,19,4
Oregon,32,34,4,14,16
Pennsylvania,47,27,6,16,4
Rhode Island,36,48,0,11,5
South Carolina,25,57,4,14,0
South Dakota,67,33,0,0,0
Tennessee,48,28,3,9,12
Texas,55,28,2,12,3
Utah,40,40,4,8,8
Vermont,100,0,0,0,0
Virginia,39,33,2,21,5
Washington,35,43,2,9,11
West Virginia,22,67,0,11,0
Wisconsin,42,40,0,14,4
Wyoming,50,50,0,0,0
