geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,43,40,1,12,4
Alaska,24,39,0,37,0
Arizona,30,44,3,22,1
Arkansas,38,49,0,10,3
California,38,41,2,15,4
Colorado,33,50,1,13,3
Connecticut,34,31,4,18,13
Delaware,46,24,0,30,0
District of Columbia,37,41,0,7,15
Florida,40,38,3,15,4
Georgia,37,36,6,13,8
Hawaii,25,70,0,0,5
Idaho,25,49,0,26,0
Illinois,35,43,4,12,6
Indiana,16,58,5,14,7
Iowa,12,52,4,16,16
Kansas,30,47,3,14,6
Kentucky,41,33,8,10,8
Louisiana,35,40,3,17,5
Maine,33,46,0,17,4
Maryland,33,47,3,11,6
Massachusetts,38,36,1,16,9
Michigan,32,37,4,22,5
Minnesota,31,47,4,17,1
Mississippi,14,50,4,32,0
Missouri,27,45,4,19,5
Montana,41,45,0,14,0
Nebraska,25,55,0,15,5
Nevada,45,43,0,8,4
New Hampshire,10,69,0,11,10
New Jersey,29,48,2,15,6
New Mexico,28,49,6,17,0
New York,39,44,3,11,3
North Carolina,37,43,3,14,3
North Dakota,56,30,0,14,0
Ohio,28,43,4,18,7
Oklahoma,34,30,3,28,5
Oregon,39,37,4,10,10
Pennsylvania,37,45,2,12,4
Rhode Island,46,38,5,6,5
South Carolina,21,49,4,23,3
South Dakota,32,42,0,26,0
Tennessee,23,55,5,17,0
Texas,37,39,5,13,6
Utah,27,60,3,7,3
Vermont,16,52,0,32,0
Virginia,38,36,2,17,7
Washington,34,43,3,14,6
West Virginia,39,46,3,8,4
Wisconsin,34,45,5,11,5
Wyoming,15,85,0,0,0
