geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,38,34,7,14,7
Alaska,68,16,0,16,0
Arizona,46,33,1,19,1
Arkansas,37,43,5,10,5
California,42,34,2,18,4
Colorado,41,30,2,25,2
Connecticut,57,19,0,22,2
Delaware,29,29,0,42,0
District of Columbia,51,39,0,0,10
Florida,43,32,2,16,7
Georgia,51,18,0,22,9
Hawaii,63,15,0,22,0
Idaho,51,25,0,24,0
Illinois,48,32,4,14,2
Indiana,40,43,0,15,2
Iowa,36,22,8,30,4
Kansas,53,20,4,19,4
Kentucky,39,29,4,28,0
Louisiana,39,45,3,13,0
Maine,43,43,0,14,0
Maryland,35,49,1,8,7
Massachusetts,44,33,3,12,8
Michigan,44,32,0,16,8
Minnesota,39,41,0,20,0
Mississippi,29,50,0,21,0
Missouri,41,37,1,20,1
Montana,11,45,0,22,22
Nebraska,39,32,7,15,7
Nevada,44,44,4,8,0
New Hampshire,55,37,0,8,0
New Jersey,40,36,1,12,11
New Mexico,32,38,0,30,0
New York,45,31,3,15,6
North Carolina,48,31,1,12,8
North Dakota,67,33,0,0,0
Ohio,36,31,3,22,8
Oklahoma,60,12,3,22,3
Oregon,30,19,11,26,14
Pennsylvania,38,35,4,14,9
Rhode Island,29,36,7,28,0
South Carolina,25,53,3,13,6
South Dakota,76,0,0,24,0
Tennessee,34,38,4,16,8
Texas,43,35,3,16,3
Utah,34,34,5,27,0
Vermont,40,51,0,9,0
Virginia,50,30,3,14,3
Washington,40,34,4,21,1
West Virginia,55,31,7,7,0
Wisconsin,28,33,0,29,10
Wyoming,0,0,0,0,0
