geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,0,0,0,100
Alaska,0,100,0,0,0
Arizona,24,52,0,24,0
Arkansas,0,0,0,0,0
California,32,16,8,36,8
Colorado,100,0,0,0,0
Connecticut,0,0,0,0,0
Delaware,0,0,0,0,0
District of Columbia,50,0,0,50,0
Florida,34,0,0,66,0
Georgia,20,21,0,19,40
Hawaii,0,100,0,0,0
Idaho,0,0,0,0,0
Illinois,54,24,0,15,7
Indiana,60,21,0,0,19
Iowa,50,0,0,50,0
Kansas,100,0,0,0,0
Kentucky,0,0,0,0,0
Louisiana,0,26,50,24,0
Maine,0,0,0,0,100
Maryland,25,26,0,49,0
Massachusetts,50,26,0,24,0
Michigan,67,0,33,0,0
Minnesota,0,0,0,100,0
Mississippi,0,0,0,0,0
Missouri,20,0,20,40,20
Montana,0,0,0,0,0
Nebraska,0,0,0,0,0
Nevada,0,0,0,0,0
New Hampshire,100,0,0,0,0
New Jersey,60,21,0,19,0
New Mexico,0,0,0,50,50
New York,30,32,8,30,0
North Carolina,67,17,0,16,0
North Dakota,100,0,0,0,0
Ohio,86,0,0,0,14
Oklahoma,34,0,33,33,0
Oregon,0,0,0,0,0
Pennsylvania,29,0,29,28,14
Rhode Island,100,0,0,0,0
South Carolina,0,0,0,0,0
South Dakota,0,0,0,0,0
Tennessee,100,0,0,0,0
Texas,33,34,0,33,0
Utah,0,0,0,100,0
Vermont,0,0,0,0,0
Virginia,40,41,0,19,0
Washington,25,0,0,50,25
West Virginia,0,51,49,0,0
Wisconsin,34,0,0,66,0
Wyoming,0,0,0,0,0
