geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,50,0,0,0,50
Alaska,0,100,0,0,0
Arizona,22,33,0,45,0
Arkansas,100,0,0,0,0
California,50,24,2,19,5
Colorado,0,0,0,0,0
Connecticut,43,29,0,14,14
Delaware,66,0,0,34,0
District of Columbia,20,60,0,20,0
Florida,50,33,0,17,0
Georgia,45,11,0,11,33
Hawaii,50,0,0,50,0
Idaho,50,50,0,0,0
Illinois,80,10,0,10,0
Indiana,100,0,0,0,0
Iowa,33,33,0,0,34
Kansas,0,0,0,0,100
Kentucky,40,40,0,20,0
Louisiana,0,0,0,0,0
Maine,0,33,0,34,33
Maryland,50,0,0,50,0
Massachusetts,30,20,10,40,0
Michigan,29,43,0,14,14
Minnesota,50,0,0,25,25
Mississippi,0,0,100,0,0
Missouri,29,43,0,14,14
Montana,0,0,0,100,0
Nebraska,100,0,0,0,0
Nevada,0,0,0,0,0
New Hampshire,50,50,0,0,0
New Jersey,36,18,0,37,9
New Mexico,67,33,0,0,0
New York,25,33,0,34,8
North Carolina,27,36,0,28,9
North Dakota,0,100,0,0,0
Ohio,66,0,0,34,0
Oklahoma,0,100,0,0,0
Oregon,40,20,0,20,20
Pennsylvania,60,27,0,13,0
Rhode Island,0,50,50,0,0
South Carolina,0,0,100,0,0
South Dakota,0,0,0,0,100
Tennessee,67,33,0,0,0
Texas,28,39,11,17,5
Utah,0,100,0,0,0
Vermont,100,0,0,0,0
Virginia,50,17,33,0,0
Washington,50,29,0,7,14
West Virginia,0,0,0,0,0
Wisconsin,100,0,0,0,0
Wyoming,0,0,0,0,0
