geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,100,0,0,0
Alaska,0,0,0,0,0
Arizona,55,18,0,27,0
Arkansas,50,25,0,25,0
California,31,39,1,25,4
Colorado,45,22,0,33,0
Connecticut,34,0,0,33,33
Delaware,0,100,0,0,0
District of Columbia,71,10,0,9,10
Florida,49,26,0,21,4
Georgia,36,32,0,16,16
Hawaii,0,0,0,100,0
Idaho,0,0,0,0,0
Illinois,42,29,0,23,6
Indiana,44,14,0,28,14
Iowa,29,14,0,43,14
Kansas,60,20,20,0,0
Kentucky,50,50,0,0,0
Louisiana,100,0,0,0,0
Maine,0,100,0,0,0
Maryland,60,0,0,40,0
Massachusetts,39,24,0,28,9
Michigan,17,33,0,33,17
Minnesota,30,50,10,10,0
Mississippi,0,0,0,0,0
Missouri,46,27,9,18,0
Montana,0,100,0,0,0
Nebraska,40,0,0,60,0
Nevada,40,40,0,20,0
New Hampshire,0,0,0,100,0
New Jersey,36,17,6,35,6
New Mexico,50,25,0,25,0
New York,44,17,10,16,13
North Carolina,23,34,5,33,5
North Dakota,0,0,0,100,0
Ohio,0,82,0,9,9
Oklahoma,33,67,0,0,0
Oregon,17,50,0,16,17
Pennsylvania,38,19,0,37,6
Rhode Island,67,33,0,0,0
South Carolina,0,50,0,50,0
South Dakota,67,0,0,33,0
Tennessee,0,0,0,0,0
Texas,48,29,0,18,5
Utah,0,100,0,0,0
Vermont,0,0,0,0,0
Virginia,51,12,0,25,12
Washington,34,54,0,6,6
West Virginia,100,0,0,0,0
Wisconsin,30,50,0,20,0
Wyoming,0,0,0,0,0
