geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,42,43,0,10,5
Alaska,22,67,0,11,0
Arizona,35,41,2,19,3
Arkansas,20,54,0,23,3
California,39,37,3,16,5
Colorado,28,54,2,14,2
Connecticut,38,34,0,20,8
Delaware,34,33,0,11,22
District of Columbia,25,37,0,38,0
Florida,44,37,4,11,4
Georgia,37,35,5,19,4
Hawaii,38,50,0,12,0
Idaho,37,9,0,36,18
Illinois,39,33,3,17,8
Indiana,29,52,6,8,5
Iowa,39,34,9,14,4
Kansas,24,46,0,27,3
Kentucky,35,37,1,22,5
Louisiana,49,39,2,6,4
Maine,25,50,0,10,15
Maryland,56,33,3,1,7
Massachusetts,34,45,3,12,6
Michigan,31,40,5,15,9
Minnesota,43,46,1,9,1
Mississippi,32,44,8,8,8
Missouri,43,40,0,9,8
Montana,38,50,0,12,0
Nebraska,35,35,0,30,0
Nevada,34,48,3,12,3
New Hampshire,34,42,0,16,8
New Jersey,43,33,5,14,5
New Mexico,26,57,0,17,0
New York,36,41,4,12,7
North Carolina,30,46,3,14,7
North Dakota,14,43,0,43,0
Ohio,32,45,4,14,5
Oklahoma,37,50,3,3,7
Oregon,27,42,2,27,2
Pennsylvania,36,40,3,17,4
Rhode Island,31,39,7,23,0
South Carolina,38,44,3,12,3
South Dakota,0,67,0,33,0
Tennessee,28,32,9,20,11
Texas,40,40,5,11,4
Utah,23,62,0,15,0
Vermont,51,37,0,12,0
Virginia,44,34,4,15,3
Washington,36,34,3,22,5
West Virginia,45,25,10,5,15
Wisconsin,31,39,2,24,4
Wyoming,0,50,0,50,0
