geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,0,0,0,100
Alaska,0,0,0,100,0
Arizona,0,0,0,100,0
Arkansas,0,0,0,0,0
California,52,12,4,28,4
Colorado,67,33,0,0,0
Connecticut,0,0,0,100,0
Delaware,0,0,0,0,0
District of Columbia,50,50,0,0,0
Florida,100,0,0,0,0
Georgia,0,50,0,50,0
Hawaii,0,0,0,100,0
Idaho,0,100,0,0,0
Illinois,40,13,6,34,7
Indiana,0,50,0,50,0
Iowa,50,0,0,50,0
Kansas,0,0,0,0,0
Kentucky,100,0,0,0,0
Louisiana,100,0,0,0,0
Maine,100,0,0,0,0
Maryland,33,34,16,17,0
Massachusetts,33,43,8,16,0
Michigan,37,25,0,12,26
Minnesota,0,50,0,50,0
Mississippi,0,0,0,0,0
Missouri,20,20,0,60,0
Montana,100,0,0,0,0
Nebraska,0,0,0,0,0
Nevada,100,0,0,0,0
New Hampshire,0,0,0,0,0
New Jersey,43,29,0,28,0
New Mexico,0,100,0,0,0
New York,46,31,0,7,16
North Carolina,25,25,25,25,0
North Dakota,0,0,0,0,0
Ohio,40,20,0,40,0
Oklahoma,100,0,0,0,0
Oregon,0,50,0,50,0
Pennsylvania,33,22,0,45,0
Rhode Island,100,0,0,0,0
South Carolina,67,33,0,0,0
South Dakota,100,0,0,0,0
Tennessee,0,0,0,0,0
Texas,43,14,0,14,29
Utah,0,50,0,50,0
Vermont,49,0,0,25,26
Virginia,20,20,0,60,0
Washington,40,60,0,0,0
West Virginia,0,0,0,0,0
Wisconsin,100,0,0,0,0
Wyoming,0,0,0,0,0
