geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,29,41,6,18,6
Alaska,33,67,0,0,0
Arizona,36,43,4,11,6
Arkansas,36,47,5,12,0
California,40,37,2,14,7
Colorado,23,52,4,15,6
Connecticut,43,42,0,11,4
Delaware,56,44,0,0,0
District of Columbia,50,42,0,0,8
Florida,35,47,3,11,4
Georgia,35,43,3,12,7
Hawaii,67,33,0,0,0
Idaho,53,24,0,14,9
Illinois,33,43,6,15,3
Indiana,24,67,3,5,1
Iowa,31,41,2,20,6
Kansas,44,40,4,9,3
Kentucky,29,53,6,11,1
Louisiana,27,47,0,17,9
Maine,35,62,0,0,3
Maryland,46,35,3,11,5
Massachusetts,41,36,2,15,6
Michigan,38,40,3,13,6
Minnesota,32,41,7,14,6
Mississippi,43,36,0,19,2
Missouri,39,45,2,12,2
Montana,31,50,0,19,0
Nebraska,50,36,0,14,0
Nevada,53,30,7,4,6
New Hampshire,34,27,0,33,6
New Jersey,23,57,3,9,8
New Mexico,28,52,0,20,0
New York,37,40,4,13,6
North Carolina,39,42,5,9,5
North Dakota,72,14,0,14,0
Ohio,35,41,4,17,3
Oklahoma,26,45,5,24,0
Oregon,42,36,6,14,2
Pennsylvania,36,38,2,17,7
Rhode Island,14,51,0,14,21
South Carolina,27,51,7,12,3
South Dakota,33,47,0,20,0
Tennessee,31,55,1,9,4
Texas,39,39,5,12,5
Utah,37,33,0,27,3
Vermont,21,65,0,14,0
Virginia,37,37,1,14,11
Washington,41,41,5,11,2
West Virginia,22,51,5,17,5
Wisconsin,30,45,1,14,10
Wyoming,27,18,0,55,0
