geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,100,0,0,0,0
Alaska,0,0,0,0,0
Arizona,29,31,0,30,10
Arkansas,0,0,0,0,0
California,46,20,3,27,4
Colorado,49,51,0,0,0
Connecticut,33,34,0,0,33
Delaware,0,0,0,0,0
District of Columbia,19,42,0,39,0
Florida,21,30,14,21,14
Georgia,57,15,0,14,14
Hawaii,0,0,0,0,0
Idaho,0,0,0,0,0
Illinois,9,37,9,36,9
Indiana,19,62,0,0,19
Iowa,0,0,0,100,0
Kansas,50,26,0,24,0
Kentucky,0,0,0,0,0
Louisiana,0,0,0,0,0
Maine,100,0,0,0,0
Maryland,49,26,0,25,0
Massachusetts,25,0,0,75,0
Michigan,60,0,0,40,0
Minnesota,100,0,0,0,0
Mississippi,100,0,0,0,0
Missouri,0,68,0,0,32
Montana,100,0,0,0,0
Nebraska,100,0,0,0,0
Nevada,0,0,0,100,0
New Hampshire,0,0,0,0,0
New Jersey,49,26,0,25,0
New Mexico,50,0,0,0,50
New York,56,19,0,25,0
North Carolina,62,26,12,0,0
North Dakota,0,0,0,0,0
Ohio,49,35,0,16,0
Oklahoma,67,0,0,33,0
Oregon,100,0,0,0,0
Pennsylvania,35,44,7,7,7
Rhode Island,0,0,0,0,0
South Carolina,50,0,0,0,50
South Dakota,0,0,0,0,0
Tennessee,49,51,0,0,0
Texas,31,8,15,39,7
Utah,0,100,0,0,0
Vermont,0,0,0,0,0
Virginia,11,23,0,44,22
Washington,50,0,0,50,0
West Virginia,0,0,0,0,0
Wisconsin,0,0,0,100,0
Wyoming,0,0,0,0,0
