geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,100,0,0,0,0
Alaska,0,100,0,0,0
Arizona,67,0,0,33,0
Arkansas,0,0,0,0,0
California,37,23,4,32,4
Colorado,25,25,0,50,0
Connecticut,0,0,0,100,0
Delaware,100,0,0,0,0
District of Columbia,67,33,0,0,0
Florida,33,45,0,22,0
Georgia,60,20,0,20,0
Hawaii,0,0,0,100,0
Idaho,50,0,0,50,0
Illinois,14,14,14,43,15
Indiana,50,0,0,50,0
Iowa,100,0,0,0,0
Kansas,67,0,0,33,0
Kentucky,0,0,0,100,0
Louisiana,0,100,0,0,0
Maine,0,100,0,0,0
Maryland,0,33,33,34,0
Massachusetts,55,9,0,36,0
Michigan,40,20,0,40,0
Minnesota,25,25,0,50,0
Mississippi,100,0,0,0,0
Missouri,67,33,0,0,0
Montana,0,0,0,0,0
Nebraska,100,0,0,0,0
Nevada,100,0,0,0,0
New Hampshire,0,0,0,0,0
New Jersey,16,50,0,17,17
New Mexico,0,0,0,0,0
New York,48,13,8,27,4
North Carolina,0,0,0,75,25
North Dakota,0,0,0,0,0
Ohio,57,14,0,29,0
Oklahoma,33,0,0,67,0
Oregon,33,67,0,0,0
Pennsylvania,34,33,11,22,0
Rhode Island,0,100,0,0,0
South Carolina,100,0,0,0,0
South Dakota,0,0,0,0,0
Tennessee,20,40,0,40,0
Texas,34,40,6,20,0
Utah,0,0,0,0,0
Vermont,100,0,0,0,0
Virginia,34,16,0,42,8
Washington,60,20,0,20,0
West Virginia,0,100,0,0,0
Wisconsin,57,14,0,14,15
Wyoming,0,0,0,0,0
