geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,0,0,100,0
Alaska,0,0,0,0,0
Arizona,67,17,0,16,0
Arkansas,0,0,0,0,0
California,51,36,2,6,5
Colorado,55,11,0,22,12
Connecticut,50,50,0,0,0
Delaware,0,0,0,0,0
District of Columbia,40,20,0,40,0
Florida,23,46,0,23,8
Georgia,21,36,7,29,7
Hawaii,67,0,0,33,0
Idaho,0,25,0,75,0
Illinois,43,43,0,14,0
Indiana,25,50,0,25,0
Iowa,50,0,0,50,0
Kansas,32,32,0,0,36
Kentucky,0,0,0,100,0
Louisiana,100,0,0,0,0
Maine,0,0,0,0,0
Maryland,44,11,11,22,12
Massachusetts,46,18,9,27,0
Michigan,63,25,0,12,0
Minnesota,40,20,20,20,0
Mississippi,0,0,0,0,0
Missouri,51,33,0,16,0
Montana,0,100,0,0,0
Nebraska,0,100,0,0,0
Nevada,100,0,0,0,0
New Hampshire,100,0,0,0,0
New Jersey,45,22,22,11,0
New Mexico,100,0,0,0,0
New York,45,30,10,15,0
North Carolina,67,33,0,0,0
North Dakota,0,100,0,0,0
Ohio,22,22,0,56,0
Oklahoma,67,33,0,0,0
Oregon,51,16,0,33,0
Pennsylvania,53,23,0,18,6
Rhode Island,33,0,0,67,0
South Carolina,20,60,0,20,0
South Dakota,0,100,0,0,0
Tennessee,40,20,10,20,10
Texas,38,50,0,12,0
Utah,50,50,0,0,0
Vermont,32,32,0,0,36
Virginia,46,36,0,18,0
Washington,60,0,20,20,0
West Virginia,100,0,0,0,0
Wisconsin,57,0,14,14,15
Wyoming,50,50,0,0,0
