geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,48,52,0,0
Alaska,0,0,0,100,0
Arizona,17,67,0,16,0
Arkansas,34,0,0,33,33
California,43,34,0,21,2
Colorado,51,49,0,0,0
Connecticut,45,22,0,11,22
Delaware,0,0,0,0,0
District of Columbia,41,39,0,0,20
Florida,26,50,0,18,6
Georgia,20,40,0,20,20
Hawaii,0,0,0,0,0
Idaho,0,100,0,0,0
Illinois,32,30,0,31,7
Indiana,0,25,0,25,50
Iowa,0,0,0,100,0
Kansas,0,67,0,33,0
Kentucky,0,100,0,0,0
Louisiana,100,0,0,0,0
Maine,100,0,0,0,0
Maryland,15,28,0,43,14
Massachusetts,48,38,0,7,7
Michigan,23,44,0,33,0
Minnesota,0,25,0,75,0
Mississippi,0,0,0,0,0
Missouri,46,45,0,0,9
Montana,0,100,0,0,0
Nebraska,51,0,0,49,0
Nevada,0,0,0,0,0
New Hampshire,0,100,0,0,0
New Jersey,45,44,0,11,0
New Mexico,100,0,0,0,0
New York,39,38,5,9,9
North Carolina,44,14,0,14,28
North Dakota,0,0,0,0,0
Ohio,27,20,0,47,6
Oklahoma,0,50,0,50,0
Oregon,40,39,21,0,0
Pennsylvania,34,11,6,33,16
Rhode Island,0,0,0,100,0
South Carolina,0,33,0,67,0
South Dakota,0,0,0,100,0
Tennessee,0,50,0,25,25
Texas,37,21,7,35,0
Utah,0,100,0,0,0
Vermont,0,0,0,0,0
Virginia,14,72,0,14,0
Washington,41,19,0,40,0
West Virginia,0,0,0,0,0
Wisconsin,0,0,0,100,0
Wyoming,0,100,0,0,0
