geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,0,0,0,0
Alaska,0,0,0,0,0
Arizona,0,50,0,50,0
Arkansas,27,24,0,0,49
California,33,30,3,24,10
Colorado,0,50,50,0,0
Connecticut,0,0,0,100,0
Delaware,0,0,0,0,0
District of Columbia,27,24,0,49,0
Florida,32,38,0,30,0
Georgia,27,49,0,24,0
Hawaii,0,0,0,0,0
Idaho,52,0,0,48,0
Illinois,19,27,9,45,0
Indiana,0,33,0,67,0
Iowa,0,0,0,0,0
Kansas,0,100,0,0,0
Kentucky,52,48,0,0,0
Louisiana,0,0,0,0,0
Maine,0,100,0,0,0
Maryland,0,50,0,50,0
Massachusetts,0,25,0,50,25
Michigan,35,33,16,16,0
Minnesota,21,39,0,40,0
Mississippi,0,0,0,0,0
Missouri,10,50,0,40,0
Montana,0,0,0,0,0
Nebraska,0,0,0,100,0
Nevada,0,0,0,0,0
New Hampshire,0,0,0,0,0
New Jersey,45,13,0,28,14
New Mexico,0,100,0,0,0
New York,42,19,0,33,6
North Carolina,40,36,0,24,0
North Dakota,0,0,0,0,0
Ohio,15,28,0,43,14
Oklahoma,0,0,0,0,0
Oregon,35,32,0,33,0
Pennsylvania,26,62,12,0,0
Rhode Island,100,0,0,0,0
South Carolina,100,0,0,0,0
South Dakota,0,0,0,0,0
Tennessee,0,0,0,100,0
Texas,23,44,11,22,0
Utah,100,0,0,0,0
Vermont,0,100,0,0,0
Virginia,52,24,0,24,0
Washington,27,24,0,24,25
West Virginia,0,100,0,0,0
Wisconsin,15,28,0,57,0
Wyoming,0,0,0,0,0
