geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,100,0,0,0,0
Alaska,0,100,0,0,0
Arizona,24,0,0,76,0
Arkansas,100,0,0,0,0
California,36,31,8,25,0
Colorado,40,39,0,21,0
Connecticut,100,0,0,0,0
Delaware,100,0,0,0,0
District of Columbia,100,0,0,0,0
Florida,72,28,0,0,0
Georgia,14,43,14,15,14
Hawaii,100,0,0,0,0
Idaho,0,0,0,100,0
Illinois,60,19,0,21,0
Indiana,25,49,0,26,0
Iowa,49,0,0,51,0
Kansas,50,0,24,26,0
Kentucky,0,0,0,0,100
Louisiana,100,0,0,0,0
Maine,100,0,0,0,0
Maryland,40,39,0,21,0
Massachusetts,60,20,0,10,10
Michigan,55,22,0,23,0
Minnesota,74,0,0,26,0
Mississippi,100,0,0,0,0
Missouri,0,66,0,34,0
Montana,0,0,0,0,0
Nebraska,0,0,0,0,0
Nevada,0,0,0,0,0
New Hampshire,0,0,0,100,0
New Jersey,0,33,33,34,0
New Mexico,0,0,0,0,0
New York,39,27,0,29,5
North Carolina,16,33,0,35,16
North Dakota,0,0,0,0,0
Ohio,22,22,0,34,22
Oklahoma,0,0,0,100,0
Oregon,100,0,0,0,0
Pennsylvania,67,0,0,0,33
Rhode Island,0,0,0,0,0
South Carolina,0,0,0,100,0
South Dakota,0,0,0,0,0
Tennessee,33,67,0,0,0
Texas,50,8,17,8,17
Utah,100,0,0,0,0
Vermont,0,0,0,0,0
Virginia,43,28,0,15,14
Washington,40,39,0,21,0
West Virginia,0,100,0,0,0
Wisconsin,67,33,0,0,0
Wyoming,0,100,0,0,0
