geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,75,25,0,0,0
Alaska,0,100,0,0,0
Arizona,0,20,19,41,20
Arkansas,0,100,0,0,0
California,50,19,12,13,6
Colorado,33,34,0,0,33
Connecticut,100,0,0,0,0
Delaware,0,0,0,0,0
District of Columbia,50,25,0,0,25
Florida,0,24,0,76,0
Georgia,33,34,0,17,16
Hawaii,0,0,0,0,0
Idaho,0,0,0,0,100
Illinois,40,20,0,0,40
Indiana,0,0,0,0,0
Iowa,33,34,16,17,0
Kansas,0,0,0,0,0
Kentucky,0,0,0,0,0
Louisiana,66,0,0,34,0
Maine,100,0,0,0,0
Maryland,0,0,33,34,33
Massachusetts,75,0,0,25,0
Michigan,0,100,0,0,0
Minnesota,50,50,0,0,0
Mississippi,0,0,0,0,0
Missouri,50,50,0,0,0
Montana,0,0,0,0,0
Nebraska,0,0,0,0,0
Nevada,100,0,0,0,0
New Hampshire,100,0,0,0,0
New Jersey,0,100,0,0,0
New Mexico,0,0,0,0,0
New York,55,27,0,18,0
North Carolina,63,12,25,0,0
North Dakota,0,0,0,0,0
Ohio,75,25,0,0,0
Oklahoma,0,0,0,0,100
Oregon,25,50,25,0,0
Pennsylvania,12,37,0,39,12
Rhode Island,0,100,0,0,0
South Carolina,0,0,0,0,0
South Dakota,0,0,0,0,0
Tennessee,0,49,0,51,0
Texas,12,50,0,26,12
Utah,32,0,0,68,0
Vermont,100,0,0,0,0
Virginia,42,0,0,58,0
Washington,75,0,0,25,0
West Virginia,0,0,0,0,0
Wisconsin,33,67,0,0,0
Wyoming,0,0,0,0,0
