geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,40,35,0,20,5
Alaska,20,60,0,20,0
Arizona,32,43,5,20,0
Arkansas,50,37,0,0,13
California,41,40,3,13,3
Colorado,22,65,0,6,7
Connecticut,40,35,5,15,5
Delaware,50,25,0,25,0
District of Columbia,42,21,0,14,23
Florida,44,32,4,17,3
Georgia,37,53,0,10,0
Hawaii,70,20,0,10,0
Idaho,67,33,0,0,0
Illinois,41,40,3,12,4
Indiana,42,38,0,18,2
Iowa,44,27,0,11,18
Kansas,34,39,5,22,0
Kentucky,44,45,0,11,0
Louisiana,28,45,5,22,0
Maine,0,60,0,40,0
Maryland,38,33,2,22,5
Massachusetts,42,36,1,18,3
Michigan,35,31,5,23,6
Minnesota,45,27,2,21,5
Mississippi,44,38,0,12,6
Missouri,37,34,2,14,13
Montana,0,67,0,33,0
Nebraska,0,63,12,25,0
Nevada,44,36,4,16,0
New Hampshire,29,29,0,35,7
New Jersey,27,41,0,31,1
New Mexico,45,22,0,33,0
New York,49,31,3,11,6
North Carolina,43,36,3,18,0
North Dakota,33,67,0,0,0
Ohio,29,46,1,21,3
Oklahoma,21,48,16,10,5
Oregon,61,17,0,22,0
Pennsylvania,43,29,4,24,0
Rhode Island,0,100,0,0,0
South Carolina,55,36,0,9,0
South Dakota,100,0,0,0,0
Tennessee,27,55,2,9,7
Texas,40,38,5,12,5
Utah,38,39,0,15,8
Vermont,50,50,0,0,0
Virginia,37,38,1,22,2
Washington,35,37,4,20,4
West Virginia,45,33,0,22,0
Wisconsin,40,40,0,16,4
Wyoming,0,0,0,0,0
