geoName,glaucoma
Alabama,54
Alaska,66
Arizona,33
Arkansas,0
California,33
Colorado,32
Connecticut,42
Delaware,0
District of Columbia,33
Florida,23
Georgia,39
Hawaii,100
Idaho,0
Illinois,41
Indiana,40
Iowa,16
Kansas,35
Kentucky,48
Louisiana,11
Maine,71
Maryland,22
Massachusetts,42
Michigan,44
Minnesota,38
Mississippi,76
Missouri,36
Montana,0
Nebraska,57
Nevada,38
New Hampshire,65
New Jersey,32
New Mexico,29
New York,43
North Carolina,50
North Dakota,0
Ohio,51
Oklahoma,61
Oregon,21
Pennsylvania,41
Rhode Island,0
South Carolina,56
South Dakota,0
Tennessee,33
Texas,43
Utah,26
Vermont,89
Virginia,20
Washington,46
West Virginia,0
Wisconsin,48
Wyoming,49
