geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,34,48,4,10,4
Alaska,0,100,0,0,0
Arizona,33,40,2,20,5
Arkansas,38,27,11,19,5
California,35,42,3,14,6
Colorado,32,42,4,17,5
Connecticut,43,37,1,12,7
Delaware,73,18,0,0,9
District of Columbia,45,49,0,3,3
Florida,38,41,2,15,4
Georgia,36,43,5,12,4
Hawaii,50,39,0,11,0
Idaho,23,47,0,23,7
Illinois,43,33,3,15,6
Indiana,23,50,3,17,7
Iowa,40,33,9,12,6
Kansas,36,31,5,21,7
Kentucky,24,41,8,23,4
Louisiana,58,24,2,14,2
Maine,33,47,0,20,0
Maryland,45,34,0,13,8
Massachusetts,37,30,5,22,6
Michigan,43,32,3,13,9
Minnesota,43,32,4,19,2
Mississippi,36,48,0,13,3
Missouri,32,49,2,15,2
Montana,50,20,0,10,20
Nebraska,45,25,10,15,5
Nevada,40,32,10,11,7
New Hampshire,24,48,4,20,4
New Jersey,41,42,3,10,4
New Mexico,45,39,0,16,0
New York,39,39,3,15,4
North Carolina,36,39,2,18,5
North Dakota,14,43,0,43,0
Ohio,44,29,5,18,4
Oklahoma,31,40,2,19,8
Oregon,46,35,1,13,5
Pennsylvania,41,35,4,14,6
Rhode Island,44,30,0,22,4
South Carolina,53,28,0,14,5
South Dakota,40,20,0,40,0
Tennessee,38,37,5,11,9
Texas,38,42,3,13,4
Utah,34,36,9,21,0
Vermont,60,20,0,20,0
Virginia,35,35,4,16,10
Washington,37,45,4,13,1
West Virginia,51,25,8,16,0
Wisconsin,32,31,3,26,8
Wyoming,60,20,0,20,0
