geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,43,36,2,15,4
Alaska,40,40,0,20,0
Arizona,43,47,2,3,5
Arkansas,27,56,3,7,7
California,42,36,5,12,5
Colorado,29,47,4,20,0
Connecticut,37,44,11,6,2
Delaware,33,56,0,11,0
District of Columbia,55,39,0,3,3
Florida,40,41,1,13,5
Georgia,45,37,1,9,8
Hawaii,33,42,0,17,8
Idaho,18,54,0,28,0
Illinois,40,42,3,10,5
Indiana,28,48,2,12,10
Iowa,42,37,0,17,4
Kansas,16,69,0,12,3
Kentucky,45,37,3,4,11
Louisiana,52,35,2,6,5
Maine,35,41,0,24,0
Maryland,42,29,5,14,10
Massachusetts,47,29,3,17,4
Michigan,49,36,2,11,2
Minnesota,27,49,2,12,10
Mississippi,29,50,3,7,11
Missouri,34,34,2,13,17
Montana,34,44,0,22,0
Nebraska,26,32,10,27,5
Nevada,35,39,0,22,4
New Hampshire,20,60,0,20,0
New Jersey,39,39,1,17,4
New Mexico,39,50,0,11,0
New York,40,38,4,12,6
North Carolina,42,38,2,11,7
North Dakota,14,72,0,14,0
Ohio,40,42,3,8,7
Oklahoma,23,54,11,12,0
Oregon,31,47,6,8,8
Pennsylvania,45,37,6,9,3
Rhode Island,25,50,0,25,0
South Carolina,21,61,0,11,7
South Dakota,16,67,0,17,0
Tennessee,24,51,7,11,7
Texas,40,46,3,9,2
Utah,32,41,4,9,14
Vermont,40,40,0,0,20
Virginia,30,48,2,8,12
Washington,41,42,1,7,9
West Virginia,51,37,0,12,0
Wisconsin,43,41,0,15,1
Wyoming,50,50,0,0,0
