geoName,glaucoma
Alabama,62
Alaska,0
Arizona,54
Arkansas,45
California,22
Colorado,50
Connecticut,48
Delaware,0
District of Columbia,45
Florida,58
Georgia,40
Hawaii,25
Idaho,0
Illinois,59
Indiana,53
Iowa,19
Kansas,0
Kentucky,45
Louisiana,22
Maine,51
Maryland,32
Massachusetts,30
Michigan,37
Minnesota,80
Mississippi,23
Missouri,42
Montana,0
Nebraska,45
Nevada,60
New Hampshire,100
New Jersey,31
New Mexico,61
New York,41
North Carolina,38
North Dakota,0
Ohio,31
Oklahoma,0
Oregon,41
Pennsylvania,27
Rhode Island,26
South Carolina,0
South Dakota,43
Tennessee,48
Texas,28
Utah,75
Vermont,37
Virginia,29
Washington,56
West Virginia,0
Wisconsin,34
Wyoming,0
