geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,100,0,0,0
Alaska,0,0,0,0,0
Arizona,0,67,0,33,0
Arkansas,0,100,0,0,0
California,43,15,0,35,7
Colorado,50,50,0,0,0
Connecticut,33,0,0,67,0
Delaware,0,0,0,100,0
District of Columbia,50,0,0,50,0
Florida,29,28,0,29,14
Georgia,33,0,0,67,0
Hawaii,100,0,0,0,0
Idaho,0,0,0,0,0
Illinois,28,29,0,43,0
Indiana,67,0,0,33,0
Iowa,0,0,0,0,0
Kansas,0,0,0,100,0
Kentucky,0,0,0,100,0
Louisiana,0,100,0,0,0
Maine,0,0,0,0,0
Maryland,33,0,0,67,0
Massachusetts,14,43,0,43,0
Michigan,0,0,0,100,0
Minnesota,33,33,0,34,0
Mississippi,0,0,0,0,0
Missouri,0,100,0,0,0
Montana,0,0,0,0,0
Nebraska,0,0,0,0,0
Nevada,0,0,0,0,0
New Hampshire,0,0,0,0,100
New Jersey,30,20,0,50,0
New Mexico,0,100,0,0,0
New York,33,25,0,34,8
North Carolina,0,25,0,75,0
North Dakota,0,0,0,0,0
Ohio,0,20,0,60,20
Oklahoma,0,0,0,0,0
Oregon,0,0,0,0,0
Pennsylvania,28,43,15,14,0
Rhode Island,100,0,0,0,0
South Carolina,0,0,0,0,0
South Dakota,0,0,0,0,0
Tennessee,0,0,0,0,0
Texas,36,27,0,37,0
Utah,0,50,0,50,0
Vermont,0,0,0,0,0
Virginia,63,0,0,37,0
Washington,0,57,0,43,0
West Virginia,0,50,0,50,0
Wisconsin,50,50,0,0,0
Wyoming,0,100,0,0,0
